hash_name	transcription	age	gender	first_language	socioeconomic_bkgd	ethnicity
8bb91c755e9ba2aac64c8db404fcc796	hey facebook make a new group message to all my close contacts through messenger telling them that i have cancer	31 - 45	female	English	Low	Native American, American Indian, or Alaska Native
1e22d501f3e08d658793f83d161d7913	compose a message to roommate please do not forget to bring back chicken	23 - 30	male	English	Low	Middle Eastern or North African
eb9b054ebcff8a6d7c10fcf4fe423779	i'm weak	31 - 45	male	English	Medium	Black or African American
a70e761e5e1fd2183a6e95c18c7d4c87	hey facebook i need an advice can you check my groups for help	31 - 45	male	English	Low	Native American, American Indian, or Alaska Native
fb7dc66f4ece83c2da7f312503d94663	hey facebook i want to change call	31 - 45	male	French	Affluent	White
a15c99b2e96dec86759496de348944d8	hey facebook delete the last photo from my gallery please	23 - 30	female	English	Medium	Hispanic, Latino, or Spanish
7f5b10f4acfa96535999e9d2e0a26134	text mom i will see you in a little bit send	31 - 45	female	English	Low	Asian, South Asian or Asian American
9fe74962d139e733856b01cde66e26a1	hi facebook text thank you message to all my contact that start with lo	31 - 45	male	English	Low	Black or African American
6883c29c39779eba558983cbc97421a7	hey facebook silence my phone	31 - 45	male	English	Low	Native American, American Indian, or Alaska Native
a803f78c66f45c5315c414bbaaa6ca8d	save this song	31 - 45	male	English	Low	Black or African American
93186d3375b3fc194358a58cf0799157	message claire you would not believe what happened on family guy last night	31 - 45	female	English	Low	Native American, American Indian, or Alaska Native
2c923c9741a8b54bb2c6e6b52f9b1242	what was the last song that i played	23 - 30	female	Portuguese	Low	White
8210b5a4f3e6550a00d65d56ad01548f	hey facebook please unmute my notifications so i may receive them any notifications that come in please unmute	46 - 65	male	English	Medium	Black or African American
28a450d8f5907d194201e0df37f4a4b2	hey facebook please mute my notifications for one hour	46 - 65	male	English	Low	White
d6d1c0af8968cd754f84c0f1ee131b26	add song to favorites in playlist	31 - 45	female	Hindi	Affluent	Asian, South Asian or Asian American
8d2f99aeda26710f770f97d72ba841a5	hey facebook share video story to my email list	46 - 65	female	English	Low	Black or African American
350b143a7e72743593297613bea5dded	i like this song please add it to my playlist and save it	31 - 45	male	English	Low	Asian, South Asian or Asian American
ab80da0f2d79ebebe8e17c2ffb817c73	hey facebook skip song	23 - 30	female	English	Low	Native American, American Indian, or Alaska Native
d18f654c2b4c3307e8b5d340a21480a0	text my sister back ok i'll see you in a little bit on my way then	23 - 30	female	Spanish	Medium	Hispanic, Latino, or Spanish
01d5eba821e6979f452f58a568b6640a	hey facebook snap a photo	46 - 65	male	English	Medium	White
97846a1b1477e715c663277c8bd3d3f7	so fun fact i just got married	46 - 65	female	English	Low	White
4f12761e40cb7086aeda4fd7a07b8263	begin text message	46 - 65	male	English	Low	Native American, American Indian, or Alaska Native
1e8060e46be87703a462dc48a7b54fad	hey facebook snap a picture for me	18 - 22	male	English	Medium	Native American, American Indian, or Alaska Native
fc2aad3d9309e2eac9b12c34d013c0d2	hey facebook turn my online status on to available	31 - 45	female	English	Medium	Black or African American
10c062f4b9bc17b434929930ec0b5246	hey facebook post my most recent video to my facebook story please	18 - 22	male	English	Low	White
703a520093e0411c79d5ae55ad582d62	play madonna in spotify	31 - 45	female	English	Medium	Native Hawaiian or Other Pacific Islander
bdb0bb873d52023a828be610df2c12a0	send text be right back i spilled my drink	46 - 65	male	English	Medium	White
00cd2dc007ac8adbbee8b56b68fce23e	hey facebook start video recording recording time twenty seconds	46 - 65	male	German	Affluent	White
d60288ba224305e46b045e5114eadfaf	hey facebook end current call	31 - 45	male	Laotian	Low	Asian, South Asian or Asian American
34e89b2987a46b648c4f22b2f258bafd	save this song	31 - 45	female	English	Affluent	Native American, American Indian, or Alaska Native
4d019d92e178dde0128dfa74f195a9c7	i want to discuss something important with you by five o'clock	31 - 45	male	English	Low	Black or African American
19942198d5b527eb72bf5c0c4ced0998	text aunt kim and ask if she wants to get casual drinks	23 - 30	male	English	Low	Hispanic, Latino, or Spanish
807dcee2ac5997e8acd76a3110e037b9	text mom hey mom for how long do i have to bake that cake in the oven	23 - 30	female	English	Medium	Hispanic, Latino, or Spanish
9aec0856a56b53a6801dd3e45a053630	save this song as my like on my like list	31 - 45	female	English	Low	Native Hawaiian or Other Pacific Islander
382a54770763d9df5ce6fac013236b55	hey facebook please set online status on whatsapp to available	23 - 30	female	English	Low	Black or African American
40d3178ed06541546fd782516b5d71bb	james sent me a grocery list so that he can cook us dinner tonight so that's my big thing to do this afternoon	18 - 22	male	English	Low	White
28f10355eed923251d58a2d53ee74fc7	hey facebook status available	31 - 45	male	English	Low	Native American, American Indian, or Alaska Native
10747b014fa3b657b34541704973d19e	hey facebook answer this incoming call	18 - 22	male	English	Medium	White
1687733d2b699a64cb0682f28883adb1	hey facebook pause the video and send it	18 - 22	male	English	Medium	White
21782b80309e7eb6b64e98bb186c3dd0	hey facebook add my contact to this call	31 - 45	female	English	Low	Native American, American Indian, or Alaska Native
4019f0fc73575ef5af39cf438fcb2a70	play rap life on apple music	31 - 45	male	English	Medium	Native American, American Indian, or Alaska Native
3ac8c1b1fefcf3d13e3649f681b26995	hey facebook share wedding photo one	46 - 65	female	English	Medium	White
